category_level_1_name;category_level_2_name;category_level_3_name;category_level_4_name;category_level_5_name;category_action;category_id;category_url;;param_action;param_type;param_id;param_name;param_multiselect_on_posting;param_multiselect_on_filter;param_required_on_posting;;value_action;value_id;value_url;value_name
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;425;Доставка;;;;;add;27241;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/paid-delivery;Платная доставка
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;29;Состояние;;;;;add;2757;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/new;Новый
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;29;Состояние;;;;;add;2756;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/used;Б/у
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;425;Доставка;;;;;add;27236;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/p-27236-customer-pickup;Самовывоз
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;425;Доставка;;;;;add;30644;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/delivery-to-areas;Доставка в районы
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;425;Доставка;;;;;add;27240;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/free-delivery;Бесплатная доставка
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные краны;-;new;11304;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar;;add;dropdown;425;Доставка;;;;;add;27241;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-kranlar/paid-delivery;Платная доставка
